"","sub","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","defaced","site"
"55",40,-0.04066056673554,-4.13927454487394,-1.11366182458956,-1.89874246576518,0.394008547349756,-1.09328962903443,-1.05771725877487,0.565394192054712,0.133905031657285,0,1
"56",40,-1.05021405132788,-5.14473157792193,-3.35543518515968,-0.120510123805988,-0.557689076340453,-1.74366947187843,-1.59294693864586,0.331303042582813,-0.0270161282416378,1,1
"57",41,0.092172628363285,-4.38351328827727,-0.579919267835306,-2.31938622244149,-1.29453288555578,0.84430965435517,0.575663141355388,0.888103845531175,0.0569615077787167,0,1
"58",41,0.493817025243499,-6.39174529843173,-3.20121305496225,-1.04314763160409,-1.9312827550935,-2.0868364530747,-0.544986112976251,0.39294475727495,0.240022615219906,1,1
"59",42,-0.509014962791567,2.90537526413067,2.77053320975458,4.23335765610138,-0.793009895984888,-0.257030211426293,0.102229455834067,1.25266498782181,-0.520319829954106,0,1
"60",42,-2.34382941948368,-4.72971026713596,-2.18627020271636,0.0566231101746941,-1.83053786193248,-1.21577167155499,-1.66966130705712,0.52734136375837,0.370572367992046,1,1
"61",43,-0.785827886566706,-3.97044504002102,-1.41928541269165,-2.45190489279085,-0.6763512858597,-0.310201796434982,0.320085088887746,1.36668528996172,0.97775493783333,0,1
"62",43,-1.35551197699172,-3.66232635928907,-3.60929342699855,-2.21453889383104,-1.4168195772161,-2.61940726405487,0.243217749089305,1.52677358346394,0.591682768564084,1,1
"63",44,-1.18537963236315,-0.980194124863929,1.6723536709,-2.04662743263617,1.1346559959893,-2.91565612833147,0.540447159216628,-0.481735673761513,-0.361746533942173,0,1
"64",44,0.845155181980305,-4.43218860668502,-2.72310900578309,-0.758058696363388,-1.60105067429818,-2.30445688540835,-0.0876986131783742,0.723927280773429,-0.187996574266186,1,1
"65",45,0.478526334492661,-4.16027062322317,2.96160213790601,-1.49112778618099,1.93111543167796,-2.07724539155007,-0.363751985743725,0.0214050270156152,0.0810756225085421,0,1
"66",45,1.68701615278318,-3.12933730600411,-4.24781608161012,2.1004946758848,2.0731430575517,-0.484546565779931,0.787046485433998,1.3803940070186,0.212735288716307,1,1
"67",46,3.7091973983478,-3.67023595443855,-3.46129016384422,0.305406029491601,-0.326984782529601,-0.464118955266336,1.1880220869957,1.24573661718358,-0.87606007371101,0,1
"68",46,-3.95769289053153,-2.49753806209866,-4.18233498014872,-1.79385885543345,-1.4425112628779,0.771868786235533,-0.0698546762905715,-0.50195059040472,0.0765273158752939,1,1
